"Constructor","ConstructorId"
"Caterham","caterham"
"Ferrari","ferrari"
"Force India","forceIndia"
"HRT","hrt"
"Lotus","lotus"
"Marussia","marussia"
"Mercedes","mercedes"
"Red Bull","rbr"
"Renault","renault"
"Sauber","sauber"
"Spyker","spyker"
"Toro Rosso","toroRosso"
"Virgin","virgin"
"Williams","williams"
